observation1,observation1_code,observation2,observation2_code,observation3,observation3_code,observation4,observation4_code,observation5,observation5_code,observation6,observation6_code,observation7,observation7_code
His a's are the same ,0,the slant is the same ,0,the s's are also the same,0,,NA,,NA,,NA,,NA
The letter U,2,The Letter A,2,The letter G,2,,NA,,NA,,NA,,NA
The e's don't look similar,1,The a's on the note of the robbery are a lot bigger than the a's on the handwritten form of Mr. Hines,1,"The g's between ""gun"" and ""agree"" are different ",1,"The words in the note of the robbery, they are more close together rather than the handwritten note by Mr. Hines which is more spaced out and clearer to read ",2,,NA,,NA,,NA
Comparing the endings of similar letters such as a reveals a different writing style,2,,NA,,NA,,NA,,NA,,NA,,NA
spacing,2,style,2,size,2,neatness,2,spacing,2,size,2,neatness,2
similar writing skill,0,similar letter,0,similar shape ,0,similar size,0,similar of I,0,space,2,sim,2
"the style of writing the letter ""I"" and ""Y"" are very similar",0,there is possibility that one of the handwrite is use to pretend,2,or Mr Hines might change to someone else's hand write when the banker is not seeing him,2,,NA,,NA,,NA,,NA
"in the gun and understand the ""un"" is connected differently. In B the u is a part of n while in A they are not",1,"Keep and agree. ""ee""s are different",1,K letters are different - Keep and talk,1,The first one consist of multiple sentences while the second is one long sentance ,2,,NA,,NA,,NA
The capital 'I's are much more slanted in the robbery note.,1,The bottoms of letters look more 'unfinished' in the robbery note.,2,The ls slant different ways in the robbery note vs. the form.,1,The handwriting is much more spaced out in the robbery note.,2,The curves in the 's's are much more pronounced in the form.,2,The crosses in the 't's are much lower in the form.,2,The 'a's are slanted much more vertically in the robbery note.,1
"I:The first ""I"" in the robbbery note is similar to what Hines wrote, but the second is different.",2,"The robbbery note is a bit more divided, and Hines's notes have a lot of run-together, which is not something you can play out.",2,,NA,,NA,,NA,,NA,,NA
"letter ""I"". The first ""I"" in the robbery note is similar to the one in Hines' handwriting, but the second one is different, which means it wasn't necessarily Hines who wrote the robbery note.",2,"The letters in the robbery note are a little bit divided, and Hines's notes have a lot of connected strokes, which is not something you can play out.",2,,NA,,NA,,NA,,NA,,NA
h,2,I,2,s,2,e,2,a,2,u,2,g,2
letter I ,2,sloppy E ,2,the A ,2,all,2, the ,2,letters ,2,are similar,0
Space between words are different but looks intentional,1,Some letters like R looks so different but A looks the same,2,,NA,,NA,,NA,,NA,,NA
The way they write I just look similar,0,The way they write II just look similar,0,The way they write a just look similar,0,The way they write c just look similar,0,The way they write h just look similar,0,The way they write k just look similar,0,The way they write n just look similar,0
writing looks very similar ,0,The I's look almost identical ,0,writing looks very similar ,0,writing looks very similar ,0,writing looks very similar ,0,writing looks very similar ,0,writing looks very similar ,0
Very similar writing style,0,Letter u,2,Letter n,2,Letter a,2,Letter o,2,"Original unnaturally spaced out, shows intention to not mimic usual handwriting",2,"Original looks like its written quickly, but lots of letters still very similar",0
The I is slanted in different directions,1,However other letters look similar,0,The o is similar,0,The a is smiliae,2,The n is very similar,0,The e is simikar,2,The overlap is similar,0
"the ""a""s look similar",0,"""I""s also look similar",0,l,2,u,2,n,2,s,2,e,2
The way the letters are written and the spacing.,2,The letters dont really look the same especially the h and u. The,0,"second note the words are much closer together, in the first note theya",2,are very far apart. In the second note the individual letters are also,2,closer together than in the first. I think the handwriting looks a ,2,"little bit similar but not enough to be the same person, he could",0,have changed it but there seems like a lot of small differences. ,1
K,2,T,2,G,2,h,2,s,2,t,2,I,2
I,2,Spacing of words ,2,quiet ,2,all ,2,call,2,,NA,,NA
"The ""I""s are similar",0,"The ""T""s are similar",0,The slant of the words is similar,0,"The ""a""s are similar",0,Spacing is similar,0,Period is similar,0,Diction is similar,0
a,2,e,2,s,2,l,2,t,2,y,2,g,2
"a, the a in exhibit B looked rounder and more fluid than exhibit A",2,"I, the I in exhibit A are disconnected, created by 3 distinct separate strokes, whereas exhibit B looks more connected.",2,"g, the g in exhibit A is longer, looser and rounder, the g in exhibit B is more controlled. ",2,,NA,,NA,,NA,,NA
Alphabets look different,1,Space between letters is different,1,The way he writes r is kind of unique so I'm not entirely sure. They're similar,0,In the first one i is as tall as l,2,But in the second one i is shorter than l,2,Second one is more round,2,The way he writes S is kind of suspicious though,2
"I compared the letters 's', 'g', 'I', and 'y'. While the other letters are mostly similar, these letters showed the most disparity among each sample.",0,The letter 'g' is probably the most dissimilar here,0,The spacing between each word is quite different,1,"The upper letter has all of the 'I's dotted, while those in the lower letter do not",2,"Writing in the upper letter is slightly slanted to the right, while that in the lower one is relatively upright",1,The capital 'I' in each letter is very different,1,the lower case 't' in each letter is very different,1
"The second ""I"" in the first note seems to me quiet different from both ""I""s in the second note.",1,"The upward parts of the ""u""s in the first note are relatively straight, whereas the upward part of the ""u"" in the second note is relatively curved.",2,,NA,,NA,,NA,,NA,,NA
s,2,they are very similar in both paper,0,,NA,,NA,,NA,,NA,,NA
